"logFC","AveExpr","t","P.Value","adj.P.Val","B","Status"
-3.37179857065764,8.99517867345794,-24.0140161015568,3.23063495925258e-45,7.19882387970253e-41,92.4400697813286,"Downregulated"
-2.41698373264814,8.26109862261682,-22.4232931968746,1.58849549761992e-42,1.76982225867323e-38,86.3263105582357,"Downregulated"
-2.3880717862727,8.67718884225234,-22.1928815869018,3.9922528254233e-42,2.96531232363025e-38,85.4161718486453,"Downregulated"
-2.55350849621429,8.08208037337383,-22.0031116376778,8.56774637956576e-42,4.77287731439659e-38,84.661795579104,"Downregulated"
-2.22749191157636,8.7836255275514,-21.9420246998206,1.09651111476032e-41,4.88671143404086e-38,84.4180397533761,"Downregulated"
-2.61957336314814,8.00420388171963,-21.823603110818,1.77119293319054e-41,6.57791535504746e-38,83.9442168695745,"Downregulated"
-4.41746953099297,9.48229621814019,-21.4864384363449,7.00048432640333e-41,2.22845417493208e-37,82.5858433255393,"Downregulated"
-1.18215100351619,7.53375627257944,-21.421228317081,9.14621159089001e-41,2.54756291099753e-37,82.321522760797,"Downregulated"
-2.4664547832516,8.46804697311215,-21.3574620124648,1.18849214341615e-40,2.58713780765495e-37,82.0625504064365,"Downregulated"
-1.36397313661085,8.57418329919626,-21.3514421207915,1.21827773105785e-40,2.58713780765495e-37,82.0380762022494,"Downregulated"
-3.41185349805841,8.90118764742991,-21.3399695531653,1.27714023624308e-40,2.58713780765495e-37,81.9914215154944,"Downregulated"
-2.53009790955736,7.35600441296262,-21.1418298667392,2.8922407325499e-40,5.37065002028413e-37,81.1831048807402,"Downregulated"
-1.55913243015764,8.58306221443925,-21.0714013452049,3.8717745679267e-40,6.21895414082362e-37,80.8946227226978,"Downregulated"
-3.03768888583217,7.8582212571028,-21.0692010767405,3.90725476693132e-40,6.21895414082362e-37,80.8856003236022,"Downregulated"
4.36441512427304,9.69923956271028,20.9993700546069,5.22079560251313e-40,7.75566589405335e-37,80.5989404595395,"Upregulated"
-3.16126027764427,6.83445309162617,-20.8948979853734,8.06336783519538e-40,1.12297515919787e-36,80.1689480491661,"Downregulated"
