"logFC","AveExpr","t","P.Value","adj.P.Val","B","Status"
-1.76377186844441,8.12897816673832,-15.6074051642005,1.7065780046388e-29,2.55219313270916e-27,56.5878366458942,"Downregulated"
-1.04981730078748,8.92288493412149,-15.5699362059897,2.04511785272499e-29,3.03809074081806e-27,56.4080062557169,"Downregulated"
-1.70588698984765,7.67247334308411,-15.4852255479867,3.08086706117992e-29,4.51651057396528e-27,56.0008077946168,"Downregulated"
-1.00703754507354,8.42684281209346,-15.4504471594512,3.64621188082769e-29,5.3103620483976e-27,55.8333766188114,"Downregulated"
-1.14200895084237,9.71377092018692,-15.4040695958967,4.56575021973779e-29,6.56378142880111e-27,55.6098751969851,"Downregulated"
-1.92297734682196,8.03147379292523,-15.3893006127487,4.90499839925495e-29,7.0062871365768e-27,55.5386460597731,"Downregulated"
-1.56459095403238,8.94841990049533,-15.3709723877868,5.36145590784425e-29,7.60951095506327e-27,55.4502142963756,"Downregulated"
-1.51967840385574,9.57599966545794,-15.3074515227873,7.30041205937772e-29,1.02958912607034e-26,55.1434179505974,"Downregulated"
-2.38925756755983,9.99902350848598,-15.2294768250306,1.06709569687402e-28,1.47690021201514e-26,54.7661458335257,"Downregulated"
-3.67846726540922,8.47307994503738,-15.2245826460257,1.09285169830071e-28,1.50321076501449e-26,54.7424414765042,"Downregulated"
-1.27334008654716,7.79610676092523,-15.1738332476566,1.39971019989036e-28,1.91348112786238e-26,54.4964735634426,"Downregulated"
-1.44603863017593,8.16917957741122,-15.165682372453,1.4565062990284e-28,1.97898352812499e-26,54.456939826382,"Downregulated"
-1.0895146715739,7.44546891586916,-15.1581849164005,1.51079250372519e-28,2.04030238548535e-26,54.4205683138796,"Downregulated"
-1.47618589861788,7.79646357637383,-15.1289541357753,1.74258200775553e-28,2.33915390836244e-26,54.2787003664994,"Downregulated"
-1.37575250640747,9.16812621748598,-15.114856590304,1.86683059909077e-28,2.49016721766042e-26,54.2102432299354,"Downregulated"
-1.51893968221429,9.37405465176636,-15.1136977584011,1.87743164101311e-28,2.49016721766042e-26,54.2046149328012,"Downregulated"
-2.00150917850634,7.76004999613084,-15.0710082898222,2.31316019455992e-28,3.04994962221176e-26,53.9971662298029,"Downregulated"
-2.15852323256018,9.29803302165421,-15.0651933016876,2.379905684611e-28,3.11949637471688e-26,53.9688916249736,"Downregulated"
-1.40245705602886,8.98972077458878,-15.0296834097743,2.83164297842128e-28,3.6899123092492e-26,53.7961424094344,"Downregulated"
-2.46807456403942,10.293901048729,-14.9563359663596,4.05645457449546e-28,5.16514155905614e-26,53.4388477620652,"Downregulated"
-1.90306992045954,8.37949053909346,-14.9243066237028,4.74680520400915e-28,6.00983297505318e-26,53.2826253688499,"Downregulated"
-1.83541811605736,8.35273657004673,-14.9133326830884,5.00955206283281e-28,6.30665811390415e-26,53.2290724726425,"Downregulated"
-1.04897714288741,8.64309576457009,-14.8767811636898,5.99479072058057e-28,7.50460233857848e-26,53.0505989050002,"Downregulated"
-1.64800139493702,8.08226744546729,-14.8205442627741,7.90451350117661e-28,9.84001532663231e-26,52.7757003129396,"Downregulated"
-1.47907048254223,8.77131415686916,-14.790857792768,9.14825765522909e-28,1.12624654879265e-25,52.630437421833,"Downregulated"
-1.88173908916785,9.2555075846729,-14.787194931073,9.3147638545117e-28,1.14044441192354e-25,52.6125070702165,"Downregulated"
-1.17182481039761,8.20773164763551,-14.6947883250712,1.46897927173664e-27,1.76936568173555e-25,52.1596458858314,"Downregulated"
-1.14992366260275,8.22218681371963,-14.6335578191899,1.98767160416187e-27,2.36851798692722e-25,51.859027987982,"Downregulated"
-1.8661850572157,8.45718019171028,-14.6124024942812,2.20679635334946e-27,2.60180122442783e-25,51.7550635525442,"Downregulated"
-1.12416471356194,8.84251575448598,-14.5709223236395,2.70943385796643e-27,3.17759550826663e-25,51.55106737465,"Downregulated"
-1.35310338959642,7.56804403939252,-14.5685412836634,2.74155247874185e-27,3.1984300462725e-25,51.5393516500696,"Downregulated"
-1.00737031062879,8.89091171474766,-14.5262342290164,3.3805027396407e-27,3.9029918418349e-25,51.3310754430126,"Downregulated"
-1.31512775022379,6.7545974876729,-14.5098194477462,3.6669601134667e-27,4.19030113889121e-25,51.2502112824516,"Downregulated"
-1.25204716892154,9.31616475613084,-14.4954586794458,3.93750934863682e-27,4.47650616406502e-25,51.1794407680752,"Downregulated"
-1.85193360421429,8.75478689448598,-14.473589011664,4.38855196540134e-27,4.96396464188011e-25,51.071621243196,"Downregulated"
-1.03075880443069,9.15477447921495,-14.4714801714871,4.43469936314231e-27,4.99082858125758e-25,51.061221605841,"Downregulated"
-1.55373852504011,8.45476076149533,-14.4451526340782,5.05356776907043e-27,5.65872616071339e-25,50.9313464851538,"Downregulated"
-1.21994969860627,5.64181974675701,-14.4189053814157,5.75695027641014e-27,6.41410615046236e-25,50.8017897412915,"Downregulated"
-2.25911256811858,7.83227120152336,-14.3931907821113,6.54139978567254e-27,7.25184136438513e-25,50.6747871747398,"Downregulated"
-2.37120075060803,9.28788879356075,-14.3827568976969,6.88954415767047e-27,7.56254741208725e-25,50.6232338398064,"Downregulated"
-2.24540195905209,10.255631661028,-14.3742400418993,7.18747902520736e-27,7.85091152542626e-25,50.5811434273922,"Downregulated"
-1.21806832529628,9.57643131881308,-14.3718480732406,7.27345869638105e-27,7.89145119287709e-25,50.5693208289292,"Downregulated"
-1.83654081952006,7.39553717401869,-14.3511017520735,8.06389634042643e-27,8.68057015235373e-25,50.4667527971175,"Downregulated"
-1.44251727804364,8.19999253531776,-14.3366332827893,8.66569572181424e-27,9.28354316198013e-25,50.3951935248226,"Downregulated"
-1.55722907598452,7.96180289968224,-14.3313620185942,8.89598969781754e-27,9.48465734145781e-25,50.3691167076272,"Downregulated"
-1.132374587019,8.34323392031776,-14.3249668939409,9.1836533263046e-27,9.69854725450452e-25,50.3374760308879,"Downregulated"
-1.94567227709642,8.63239547620561,-14.2784493704842,1.15773340924214e-26,1.21687611123315e-24,50.1071882003087,"Downregulated"
-2.21985514451514,9.68345450246729,-14.1826294297743,1.86698935520002e-26,1.93498250241497e-24,49.6320731411727,"Downregulated"
-1.39749865048593,8.58462199304673,-14.149248788507,2.2056771847306e-26,2.25729081376271e-24,49.4663216753788,"Downregulated"
-1.30496627823505,6.81259200547664,-14.1490052560166,2.20836241709048e-26,2.25729081376271e-24,49.4651119690614,"Downregulated"
-1.44287151354574,6.42436677415888,-14.1390171384708,2.32136878018938e-26,2.36196623419909e-24,49.4154921271973,"Downregulated"
-1.65197856742294,6.66769641798131,-14.1316686773397,2.40820238639141e-26,2.43221386454277e-24,49.3789788708642,"Downregulated"
-1.64104560238811,9.18951035386916,-14.1071117219647,2.72275724284082e-26,2.73293692082081e-24,49.2569169800451,"Downregulated"
-2.29240526332935,7.28662612330841,-14.1051431209193,2.74969296172837e-26,2.74759678323737e-24,49.2471290930592,"Downregulated"
-1.16863623561683,8.29558603382243,-14.1039045352445,2.76677711625843e-26,2.7523256464994e-24,49.2409706282864,"Downregulated"
-1.55968887991379,9.0472304088972,-14.0966241924493,2.86937393414881e-26,2.84170041665057e-24,49.204768131605,"Downregulated"
-1.07742860449296,6.05574177031776,-14.0884220927852,2.98954542296017e-26,2.94761241857617e-24,49.1639752025241,"Downregulated"
-1.53806125111612,10.8206076495514,-14.0495989187725,3.63066442915733e-26,3.54833752082951e-24,48.9707906029378,"Downregulated"
-1.53223027366398,9.44683306883178,-14.0447800592383,3.71932943798744e-26,3.61911868413424e-24,48.9468005695502,"Downregulated"
-1.42791390312809,9.33398318428037,-14.0382880274382,3.842228409725e-26,3.72245111538705e-24,48.9144769298584,"Downregulated"
-1.53583845286454,7.50504789833645,-13.9901598274731,4.89002200043048e-26,4.71707187167066e-24,48.674707069315,"Downregulated"
-3.99511995013759,12.2312683503832,-13.9879242145361,4.94513488573932e-26,4.74967416633316e-24,48.6635634484766,"Downregulated"
-2.25852915831634,8.24944734451402,-13.9595864963855,5.70025644574482e-26,5.45145126096703e-24,48.5222652791664,"Downregulated"
-1.1049084328202,9.27425958821495,-13.9397183934233,6.29777069824642e-26,5.99714634483013e-24,48.4231475657172,"Downregulated"
-3.70979639890535,8.73107169243925,-13.8955288954549,7.86213144053964e-26,7.40635316493811e-24,48.2025457182389,"Downregulated"
-1.53339874230226,11.6703533685327,-13.8892083307401,8.11576262198605e-26,7.56667525128515e-24,48.1709754811866,"Downregulated"
-2.13965367128431,8.26535773997196,-13.8729902404917,8.80479571143223e-26,8.07396143365614e-24,48.0899494092147,"Downregulated"
-1.2675171050278,8.64273778408411,-13.8660182203152,9.11878135308341e-26,8.32761495453925e-24,48.0551084880789,"Downregulated"
-1.9101632446608,8.11256415802804,-13.8628814099149,9.26369184061562e-26,8.42542225650767e-24,48.0394314010482,"Downregulated"
-4.04717917931809,12.0242332291215,-13.8561756484467,9.58127943430894e-26,8.66968225474312e-24,48.0059140218188,"Downregulated"
-1.45537951735891,6.06483087250467,-13.8555788534064,9.61006828937553e-26,8.66968225474312e-24,48.0029308352476,"Downregulated"
-1.41400747101619,7.5708230298972,-13.8475043583592,1.00082213309524e-25,8.99246757732312e-24,47.9625653625973,"Downregulated"
-3.68670950540254,7.94185761851402,-13.8347235733507,1.06725799560668e-25,9.5359257248948e-24,47.89865857442,"Downregulated"
-1.35162692453448,11.4079468147383,-13.8342383752956,1.06986556173931e-25,9.5359257248948e-24,47.8962321389933,"Downregulated"
-1.17187508693808,5.78294054574766,-13.8181588703547,1.15999680677722e-25,1.02980911734728e-23,47.8158059586857,"Downregulated"
-1.22060301492647,9.85321654996262,-13.8083083513082,1.2189396067396e-25,1.06935556129836e-23,47.7665224928109,"Downregulated"
-1.80470904366785,9.0231355307757,-13.7821652979949,1.39037290358008e-25,1.21496782001862e-23,47.6356763648023,"Downregulated"
-1.43080713048311,10.6608810043271,-13.7594620006313,1.55878407177672e-25,1.34629401051941e-23,47.5219887335193,"Downregulated"
-1.93067204936172,9.11276070303738,-13.7507329936269,1.62885875687669e-25,1.39982423497573e-23,47.4782637107023,"Downregulated"
-1.04338272944899,7.66470772764486,-13.7365413745254,1.74960238383144e-25,1.48434591965407e-23,47.4071587915079,"Downregulated"
-2.05500923845215,9.63444464906542,-13.7362773538377,1.7519318622673e-25,1.48434591965407e-23,47.4058357599155,"Downregulated"
-1.29563653708446,10.2822711182617,-13.7212854125509,1.8894458756412e-25,1.59479251692851e-23,47.3306980166017,"Downregulated"
-1.30183445708551,7.63356275474766,-13.7069668337169,2.03089309162852e-25,1.70771285889654e-23,47.2589135227978,"Downregulated"
-1.73932375036348,10.534076698028,-13.706078345131,2.04001254200263e-25,1.70893231103176e-23,47.2544584978284,"Downregulated"
-4.00203470332442,12.2994402916168,-13.7037368060607,2.06424355387351e-25,1.72275427381886e-23,47.2427172559651,"Downregulated"
-1.20703730920444,7.16919171250467,-13.7015073637834,2.08758306409723e-25,1.7357318439283e-23,47.2315375819711,"Downregulated"
-1.27923791707988,7.50376264693458,-13.6955576772779,2.15117425103449e-25,1.78195597902608e-23,47.2017000251996,"Downregulated"
-2.71113022802182,11.4497442363364,-13.6759834458888,2.37443812470472e-25,1.94520605635277e-23,47.1035101086802,"Downregulated"
-1.28729729551408,8.95561972091589,-13.6319284554545,2.96580822493771e-25,2.40316744277407e-23,46.8823749350924,"Downregulated"
-1.57959168466222,8.02362532016822,-13.6251215775063,3.06954127496259e-25,2.47820971847795e-23,46.848190062565,"Downregulated"
-1.86188565257038,9.93825086540187,-13.6022694921211,3.4451870298973e-25,2.77144774683038e-23,46.7333901713152,"Downregulated"
-1.42142578103977,9.59571519892523,-13.5913355191939,3.6409181309107e-25,2.91836614068644e-23,46.6784435570342,"Downregulated"
-1.90987047176953,6.31547914271963,-13.588556914401,3.69241312038611e-25,2.94903374772629e-23,46.6644782857872,"Downregulated"
-2.01821540012704,9.36950908221495,-13.5756444729618,3.94147766556453e-25,3.13671238649195e-23,46.5995701541007,"Downregulated"
-1.65740847972027,6.97625915472897,-13.5319679111498,4.91590075519133e-25,3.89825681594051e-23,46.379893419051,"Downregulated"
-1.57599440856018,11.1018994864299,-13.4680534130219,6.79441932500451e-25,5.33098752884069e-23,46.058085262331,"Downregulated"
-1.03018710682443,9.36577919257944,-13.4020707705798,9.49364554393729e-25,7.30027563023723e-23,45.7254418194522,"Downregulated"
-1.22995554700704,9.28119972854206,-13.4016530196937,9.51378662680072e-25,7.30027563023723e-23,45.723334423417,"Downregulated"
-1.4188983674233,8.48410591652337,-13.401242177735,9.53363644212644e-25,7.30027563023723e-23,45.7212618637482,"Downregulated"
-1.52902452121113,7.76088561050467,-13.3999663761045,9.59554213759412e-25,7.32251594013732e-23,45.7148257683536,"Downregulated"
-1.01456739896799,11.0921086967009,-13.371814990734,1.10690926437413e-24,8.41817718022141e-23,45.5727689238371,"Downregulated"
-1.43417538195215,8.95012553640187,-13.3384093994958,1.31152786020231e-24,9.94039976492791e-23,45.4040989072736,"Downregulated"
-1.49217652550845,6.74618522211215,-13.3329392234327,1.34848068562154e-24,1.01858288534593e-22,45.3764688898682,"Downregulated"
-2.75107282160627,11.2713276547196,-13.3274477221473,1.38662888647371e-24,1.04181774988886e-22,45.3487282650953,"Downregulated"
-1.25771137239023,9.42746808925234,-13.3254491008056,1.40078013382512e-24,1.04743569536997e-22,45.338631399141,"Downregulated"
-1.42663410847819,7.55978496511215,-13.3181035770299,1.45404708525455e-24,1.07642960799758e-22,45.3015191414759,"Downregulated"
-1.71738168654152,7.58733910960748,-13.3160448198365,1.46933792977961e-24,1.08414758573772e-22,45.2911166231921,"Downregulated"
-2.84799874507777,11.7434577399159,-13.2742346413405,1.81729583204213e-24,1.33646214605264e-22,45.0797699050846,"Downregulated"
-1.2059715414124,8.54105060608411,-13.2628210359841,1.92590978529586e-24,1.40705074576222e-22,45.0220462273858,"Downregulated"
-1.13119599502464,7.72944312085981,-13.2578264024281,1.97546687957201e-24,1.4338543478014e-22,44.9967822575877,"Downregulated"
-1.08314940509219,8.17727880490654,-13.2488636029036,2.06762776701387e-24,1.49587498481721e-22,44.9514404966732,"Downregulated"
-1.14762064653026,7.8553247823271,-13.2124406590578,2.48874268697416e-24,1.7831721316349e-22,44.7671030506084,"Downregulated"
-2.55057012117664,8.40562162639252,-13.2057616068619,2.57483246295226e-24,1.83894204397324e-22,44.7332866603427,"Downregulated"
-1.17193993500458,8.91607412788785,-13.1853745515315,2.85654381194811e-24,2.02714540642165e-22,44.6300400988565,"Downregulated"
-1.04839800053097,7.11815739779439,-13.1747505291209,3.01540548987366e-24,2.13308827082079e-22,44.5762212698991,"Downregulated"
-1.25550004055701,8.59244690251402,-13.1624313070511,3.21075222650533e-24,2.26408835010185e-22,44.513801794162,"Downregulated"
