"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0030198","extracellular matrix organization","51/652","278/18842",0.183453237410072,5.30157346515426,13.6795995951582,6.7186016819872e-23,1.41677495163036e-19,4.69901417160046e-20,"MMP9/RGCC/SLC39A8/MATN2/COL1A1/GAS6/COL5A2/IL6/MFAP4/TNXB/ADAMTSL3/COL5A1/TIMP3/FAP/COLEC12/MYH11/MARCO/NDNF/PLAU/RECK/TGFBR3/GPM6B/BMP2/FBLN5/FBLN1/PLOD2/ECM2/ADAMTS8/SPOCK2/TPSAB1/RAMP2/MMP1/COL11A1/MMP11/POSTN/LTBP4/MMP7/ADAMTS1/COL1A2/FGFR4/COL10A1/ENG/TIE1/COL4A3/GREM1/COL3A1/SULF1/COL4A5/COL13A1/MMP12/DPT",51
"BP","GO:0043062","extracellular structure organization","51/652","279/18842",0.182795698924731,5.2825714097236,13.6440108394521,7.96130113346159e-23,1.41677495163036e-19,4.69901417160046e-20,"MMP9/RGCC/SLC39A8/MATN2/COL1A1/GAS6/COL5A2/IL6/MFAP4/TNXB/ADAMTSL3/COL5A1/TIMP3/FAP/COLEC12/MYH11/MARCO/NDNF/PLAU/RECK/TGFBR3/GPM6B/BMP2/FBLN5/FBLN1/PLOD2/ECM2/ADAMTS8/SPOCK2/TPSAB1/RAMP2/MMP1/COL11A1/MMP11/POSTN/LTBP4/MMP7/ADAMTS1/COL1A2/FGFR4/COL10A1/ENG/TIE1/COL4A3/GREM1/COL3A1/SULF1/COL4A5/COL13A1/MMP12/DPT",51
"BP","GO:0045229","external encapsulating structure organization","51/652","280/18842",0.182142857142857,5.2637050832603,13.6085925718007,9.42631371676887e-23,1.41677495163036e-19,4.69901417160046e-20,"MMP9/RGCC/SLC39A8/MATN2/COL1A1/GAS6/COL5A2/IL6/MFAP4/TNXB/ADAMTSL3/COL5A1/TIMP3/FAP/COLEC12/MYH11/MARCO/NDNF/PLAU/RECK/TGFBR3/GPM6B/BMP2/FBLN5/FBLN1/PLOD2/ECM2/ADAMTS8/SPOCK2/TPSAB1/RAMP2/MMP1/COL11A1/MMP11/POSTN/LTBP4/MMP7/ADAMTS1/COL1A2/FGFR4/COL10A1/ENG/TIE1/COL4A3/GREM1/COL3A1/SULF1/COL4A5/COL13A1/MMP12/DPT",51
"BP","GO:0072001","renal system development","40/652","231/18842",0.173160173160173,5.00411653785887,11.5927712774171,2.77056003567974e-17,3.12311380021999e-14,1.03584242436434e-14,"FOXF1/MME/MMP9/EDN1/ANGPT1/CD24/TFAP2A/TCF21/PTCH1/PECAM1/CD34/HYAL2/GPC3/ZBTB16/RBP4/HPGD/BMP2/ITGA8/EDNRA/WFS1/PODXL/EPCAM/SLIT2/EGR1/TEK/CENPF/EZH2/AGTR1/LGR4/ID3/CAT/COL4A3/FGFR2/KANK2/AGTR2/AQP1/GREM1/SOX4/SMAD6/SULF1",40
"BP","GO:0009611","response to wounding","59/652","496/18842",0.118951612903226,3.43755566000396,10.415595567178,9.15439568803696e-17,8.25543403147173e-14,2.73807787623277e-14,"MCAM/HBB/FOLR1/PROS1/IL6/EDN1/SERPING1/DSG2/ANGPT1/CCN2/MDK/CX3CR1/COL5A1/MYLK/SVEP1/FAP/TFPI2/GATA2/CD34/NDNF/PLAU/CEACAM1/TNC/CDK1/AGER/F2RL1/FBLN1/PLA2G4A/TYROBP/DST/EDNRA/AURKA/FLRT3/DSP/THBD/SPP1/ZFP36/LYVE1/CPB2/AHNAK/IL33/DUOX1/F8/PTN/ANXA8/ENG/CD36/CAV1/MACF1/HBEGF/SLC6A4/VWF/MYL9/CLDN4/FERMT2/COL3A1/CLDN3/MMP12/ALOX5",59
"BP","GO:0001822","kidney development","38/652","225/18842",0.168888888888889,4.88068166325835,11.0867397067182,4.1466658226162e-16,3.11621936569608e-13,1.03355574887677e-13,"MME/MMP9/EDN1/ANGPT1/CD24/TFAP2A/TCF21/PTCH1/PECAM1/CD34/HYAL2/GPC3/ZBTB16/HPGD/BMP2/ITGA8/EDNRA/WFS1/PODXL/EPCAM/SLIT2/EGR1/TEK/CENPF/EZH2/AGTR1/LGR4/ID3/CAT/COL4A3/FGFR2/KANK2/AGTR2/AQP1/GREM1/SOX4/SMAD6/SULF1",38
"BP","GO:1901342","regulation of vasculature development","45/652","362/18842",0.124309392265193,3.59238890960241,9.42894016561754,9.75792789406975e-14,6.28549955348007e-11,2.08471016821711e-11,"EMP2/CLDN5/CHI3L1/RGCC/IL6/DSG2/PGK1/HYAL1/MDK/ADGRG6/GATA2/AKT3/CD34/QKI/CEACAM1/RECK/DCN/RRAS/JCAD/SEMA6A/CXCL12/FBLN5/SASH1/KLF2/RAMP2/CDH5/GATA6/KLF4/HOXA5/NPR1/TEK/THBS2/CLIC3/ADAMTS1/C5AR1/TIE1/CD36/CXCL13/COL4A3/ANXA3/AQP1/GREM1/SULF1/SEMA5A/ALOX5",45
"BP","GO:0045765","regulation of angiogenesis","44/652","352/18842",0.125,3.61234662576687,9.36683998448274,1.52228932814706e-13,8.58000322576885e-11,2.84572766506564e-11,"EMP2/CLDN5/CHI3L1/RGCC/IL6/DSG2/PGK1/HYAL1/MDK/ADGRG6/GATA2/AKT3/CD34/QKI/CEACAM1/RECK/DCN/RRAS/JCAD/SEMA6A/FBLN5/SASH1/KLF2/RAMP2/CDH5/GATA6/KLF4/HOXA5/NPR1/TEK/THBS2/CLIC3/ADAMTS1/C5AR1/TIE1/CD36/CXCL13/COL4A3/ANXA3/AQP1/GREM1/SULF1/SEMA5A/ALOX5",44
"BP","GO:0003018","vascular process in circulatory system","35/652","255/18842",0.137254901960784,3.96649825574402,9.02960933836206,3.36402598511846e-12,1.68537701854435e-09,5.58988601931174e-10,"CLDN5/HBB/LEPR/SLC15A2/EDN1/ANGPT1/FABP5/SVEP1/SLC2A1/PECAM1/CEACAM1/ADRB2/ZEB2/AGER/F2RL1/KLF2/RAMP2/CDH5/SLC7A5/EDNRA/KAT2B/SLC1A1/ABCC3/SLIT2/GCLC/NPR1/TEK/AGTR1/DOCK4/CD36/CAV1/AGTR2/SLC6A4/EDNRB/FERMT2",35
"BP","GO:0048729","tissue morphogenesis","45/652","408/18842",0.110294117647059,3.1873646697943,8.45669964711741,6.6693853761915e-12,3.00722586612475e-09,9.97405900341642e-10,"FOXF1/FOLR1/RASIP1/MDK/TGFBR2/COL5A1/LCN2/MYLK/TFAP2A/TCF21/KRT19/PTCH1/KRT15/MMRN2/GPC3/CEACAM1/STARD13/TNC/TGFBR3/BMP2/TBX3/S1PR1/ITGA8/EDNRA/PODXL/KLF4/FLRT3/DSP/SLIT2/HEY1/LGR4/PERP/ENG/TIE1/FGFR2/HBEGF/AGTR2/DLC1/GREM1/TNNC1/FERMT2/TBX2/COL3A1/SULF1/MMP12",45
"BP","GO:0008015","blood circulation","49/652","480/18842",0.102083333333333,2.95008307770961,8.1935699159502,1.28120565917398e-11,5.15946462440746e-09,1.71123842640375e-09,"CLDN5/HBB/MME/NMU/EDN1/SERPING1/DSG2/ANGPT1/SVEP1/NPR3/PECAM1/CEACAM1/ADRB2/ZEB2/CPA3/CXCL12/AGER/F2RL1/KLF2/RAMP2/KCNK3/CDH5/FXYD1/KL/GATA6/EDNRA/KAT2B/SLC1A1/NEDD4L/DSP/DES/SLIT2/GCLC/NPR1/TEK/AGTR1/COL1A2/ENG/DOCK4/CAV1/AGTR2/SLC6A4/EDNRB/ATP2A2/TNNC1/FERMT2/TBX2/DMD/OLR1",49
"BP","GO:0006959","humoral immune response","37/652","296/18842",0.125,3.61234662576687,8.57651700024854,1.37311101115302e-11,5.15946462440746e-09,1.71123842640375e-09,"GPI/IGHG1/GAPDH/TNFRSF21/SLPI/IL6/SERPING1/WFDC2/A2M/HLA-E/C4BPA/CD55/IGHD/IGHM/CLU/CFD/H2BC5/CXCL12/CXCL2/VSIG4/GATA6/IGHA1/FCN3/IGHG3/CCL14/C7/POU2AF1/CXCL13/IGHA2/PLA2G1B/CFB/PGC/CXCL3/CXCL14/DMBT1/C1QB/ALOX5",37
"BP","GO:0003014","renal system process","23/652","122/18842",0.188524590163934,5.44812933722217,9.33176563140858,2.80719175783896e-11,9.73663664315068e-09,3.2293480003468e-09,"EMP2/MCAM/HBB/SLC15A2/GAS6/EDN1/ADCY9/NPR3/CD34/HYAL2/F2RL1/EDNRA/IGHA1/WFS1/NPR1/AQP4/AGTR1/IGHA2/STK39/AQP1/EDNRB/CLDN4/SULF1",23
"BP","GO:0040008","regulation of growth","48/652","482/18842",0.0995850622406639,2.87788610849477,7.90707490762483,4.98907807211757e-11,1.6068395019413e-08,5.32940082150713e-09,"WWC2/H3-3B/FHL1/EDN1/TRPV2/CDKN2A/SESN1/HYAL1/PTCH1/ACACB/HYAL2/SOCS2/CEACAM1/TNC/ENO1/RBP4/TGFBR3/CDK1/CAPN3/SEMA3G/CXCL12/MT1M/CDH1/WFS1/NEDD4L/NET1/LTBP4/SLIT2/SPP1/NPR1/FBP1/AGTR1/TMPRSS4/CRYAB/CCNB1/FAM107A/MACF1/FGFR2/GDF15/HBEGF/AGTR2/SLC6A4/WFDC1/GHR/TBX2/SFN/AGR2/SEMA5A",48
"BP","GO:0042060","wound healing","42/652","394/18842",0.106598984771574,3.08057986359814,7.90164074127758,1.01332893544818e-10,3.04606677995724e-08,1.0102882571568e-08,"MCAM/HBB/PROS1/IL6/EDN1/SERPING1/ANGPT1/COL5A1/MYLK/SVEP1/FAP/TFPI2/GATA2/CD34/NDNF/PLAU/CEACAM1/F2RL1/FBLN1/PLA2G4A/DST/DSP/THBD/CPB2/AHNAK/DUOX1/F8/ANXA8/ENG/CD36/CAV1/MACF1/HBEGF/SLC6A4/VWF/MYL9/CLDN4/FERMT2/COL3A1/CLDN3/MMP12/ALOX5",42
"BP","GO:0043542","endothelial cell migration","35/652","290/18842",0.120689655172414,3.48778294901629,8.08305513471196,1.32015304347454e-10,3.72035629564168e-08,1.23392970326768e-08,"GPI/PLPP3/EMP2/RGCC/SRPX2/EDN1/ANGPT1/NR4A1/LCN2/FAP/GATA2/AKT3/MMRN2/CEACAM1/STARD13/TGFBR3/DCN/ZEB2/RRAS/JCAD/SASH1/CDH5/KLF4/SLIT2/S100A2/TEK/PTN/CXCL13/S100P/EFNB2/AGTR2/ANXA3/GREM1/ID1/SEMA5A",35
"BP","GO:0050878","regulation of body fluid levels","37/652","327/18842",0.113149847094801,3.26989174687154,7.83928740784065,2.51424222943132e-10,6.66865777206224e-08,2.21179216504455e-08,"GPI/HBB/PROS1/FLI1/IL6/EDN1/ADCY9/SERPING1/ANGPT1/SVEP1/FAP/NPR3/TFPI2/HYAL2/PLAU/CEACAM1/F2RL1/FBLN1/PLA2G4A/CDO1/WFS1/THBD/NPR1/CPB2/AQP4/F8/ANXA8/CD36/STK39/CAV1/SLC6A4/AQP1/EDNRB/VWF/MYL9/COL3A1/AGR2",37
"BP","GO:0003206","cardiac chamber morphogenesis","19/652","92/18842",0.206521739130435,5.96822485996266,9.04386236520337,2.90846328485687e-10,7.28570052856647e-08,2.41644659191455e-08,"FOXF1/ADGRG6/TGFBR2/RBP4/TGFBR3/BMP2/GATA6/EDNRA/DSP/SLIT2/TEK/HEY1/ENG/FGFR2/FHL2/TNNC1/SOX4/TBX2/SMAD6",19
"BP","GO:0048844","artery morphogenesis","15/652","56/18842",0.267857142857143,7.74074276950044,9.56409832208625,4.53670639995333e-10,1.06253419848197e-07,3.52410469336102e-08,"FOXF1/FOLR1/EDN1/LDLR/MDK/TGFBR2/MYLK/AKT3/HPGD/EDNRA/HEY1/ENG/SOX4/TBX2/COL3A1",15
"BP","GO:0006956","complement activation","16/652","65/18842",0.246153846153846,7.11354412458707,9.34751238797092,4.71294831883773e-10,1.06253419848197e-07,3.52410469336102e-08,"IGHG1/SERPING1/A2M/C4BPA/CD55/IGHD/CLU/CFD/VSIG4/IGHA1/FCN3/IGHG3/C7/IGHA2/CFB/C1QB",16
"BP","GO:0001894","tissue homeostasis","27/652","194/18842",0.139175257731959,4.02199418126621,8.01009711647708,7.49928790657445e-10,1.48376046509667e-07,4.92118486759414e-08,"CLDN5/SLC39A8/IL6/ANGPT1/WWTR1/SLC2A1/PDK4/PECAM1/CD34/RBP4/ZEB2/ALDH1A1/CDH3/S1PR1/CDH5/MUC4/SLC1A1/SPP1/COMP/PERP/JAM2/STK39/ACP5/INAVA/COL3A1/DMD/CLDN3",27
"BP","GO:0060249","anatomical structure homeostasis","27/652","194/18842",0.139175257731959,4.02199418126621,8.01009711647708,7.49928790657445e-10,1.48376046509667e-07,4.92118486759414e-08,"CLDN5/SLC39A8/IL6/ANGPT1/WWTR1/SLC2A1/PDK4/PECAM1/CD34/RBP4/ZEB2/ALDH1A1/CDH3/S1PR1/CDH5/MUC4/SLC1A1/SPP1/COMP/PERP/JAM2/STK39/ACP5/INAVA/COL3A1/DMD/CLDN3",27
"BP","GO:0050673","epithelial cell proliferation","38/652","356/18842",0.106741573033708,3.0847004894189,7.51807434580346,7.74103698776773e-10,1.48376046509667e-07,4.92118486759414e-08,"NME1/RGCC/IL6/NR4A1/MDK/FAP/GATA2/AKT3/CD34/MMRN2/CEACAM1/TGFBR3/ZEB2/JCAD/CXCL12/CDH3/NR4A3/GATA6/CDKN1C/TEK/ZFP36/CAV2/AGTR1/PTN/C5AR1/ENG/TIE1/CLDN18/KLF9/COL4A3/CAV1/FGFR2/EDNRB/TBX2/SULF1/SEMA5A/MMP12/ALOX5",38
"BP","GO:0007507","heart development","43/652","438/18842",0.0981735159817352,2.83709415357033,7.36498354945625,8.15347696662122e-10,1.48376046509667e-07,4.92118486759414e-08,"EMP2/HEG1/CLDN5/FOXF1/FOLR1/EDN1/DSG2/ADGRG6/TGFBR2/MYH11/ACACB/MEIS1/GPC3/RBP4/TGFBR3/CDK1/BMP2/TBX3/RAMP2/S1PR1/GATA6/EDNRA/KAT2B/PDLIM2/FLRT3/DSP/SLIT2/TEK/HEY1/NEBL/ENG/TIE1/CCNB1/EFNB2/FGFR2/DLC1/GREM1/FHL2/TNNC1/SOX4/TBX2/COL3A1/SMAD6",43
"BP","GO:0001501","skeletal system development","37/652","341/18842",0.108504398826979,3.13564399186802,7.53473303450172,8.22666037423305e-10,1.48376046509667e-07,4.92118486759414e-08,"CHI3L1/EFEMP1/LEPR/COL1A1/SRD5A1/HYAL1/MDK/OGN/ADGRG6/TGFBR2/COL5A1/TFAP2A/NPR3/HYAL2/ZBTB16/RBP4/PRELP/BMP2/FBLN5/TBX3/PTGER4/COL11A1/TYROBP/EDNRA/COMP/COL1A2/VCAN/COL10A1/ETS2/FGFR2/GDF10/GREM1/TIMP1/GHR/COL3A1/SULF1/COL13A1",37
"BP","GO:0002040","sprouting angiogenesis","27/652","198/18842",0.136363636363636,3.94074177356386,7.8755222337345,1.18919842768919e-09,2.06234450401944e-07,6.84017319755529e-08,"VEGFD/SRPX2/DSG2/ANGPT1/NR4A1/ADGRG6/GATA2/AKT3/MMRN2/CEACAM1/STARD13/RECK/TGFBR3/JCAD/SEMA6A/KLF2/RAMP2/CDH5/KLF4/SLIT2/TEK/CLIC3/AGTR1/EFNB2/GREM1/SEMA5A/ALOX5",27
"BP","GO:0031589","cell-substrate adhesion","36/652","333/18842",0.108108108108108,3.12419167633892,7.40429587643235,1.54334552545307e-09,2.57738702750662e-07,8.54841353174391e-08,"PLPP3/EMP2/CDKN2A/MDK/SVEP1/CD34/NDNF/PLAU/RRAS/GPM6B/FBLN5/FBLN1/ECM2/SLK/SPOCK2/ITGA8/MUC4/LIMCH1/TEK/NEDD9/LYVE1/CD36/FAM107A/MACF1/SORBS1/DLC1/VWF/GREM1/PIK3R1/ARHGAP6/FERMT2/COL3A1/AGR2/SMAD6/COL13A1/MMP12",36
"BP","GO:0032835","glomerulus development","15/652","61/18842",0.245901639344262,7.1062556572463,9.04357131599913,1.67692513157283e-09,2.70044836366496e-07,8.95657077783207e-08,"EDN1/ANGPT1/CD24/TCF21/PECAM1/CD34/EDNRA/PODXL/EGR1/TEK/LGR4/COL4A3/AGTR2/AQP1/SULF1",15
"BP","GO:0003007","heart morphogenesis","26/652","191/18842",0.136125654450262,3.93386438826968,7.71551786724621,2.50691359034431e-09,3.8978184065043e-07,1.29278852011124e-07,"EMP2/CLDN5/FOXF1/FOLR1/EDN1/ADGRG6/TGFBR2/RBP4/TGFBR3/BMP2/TBX3/S1PR1/GATA6/EDNRA/DSP/SLIT2/TEK/HEY1/ENG/FGFR2/DLC1/FHL2/TNNC1/SOX4/TBX2/SMAD6",26
"BP","GO:0003094","glomerular filtration","10/652","24/18842",0.416666666666667,12.0411554192229,10.2469079549972,2.90752424404873e-09,4.31839473101774e-07,1.43228097138969e-07,"EMP2/MCAM/GAS6/EDN1/CD34/F2RL1/EDNRA/IGHA1/IGHA2/SULF1",10
"BP","GO:0000302","response to reactive oxygen species","25/652","179/18842",0.139664804469274,4.03614148130377,7.7271121573778,2.96895623556332e-09,4.31839473101774e-07,1.43228097138969e-07,"HBB/COL1A1/IL6/EDN1/NQO1/SESN1/HYAL1/HBA1/LCN2/HYAL2/CDK1/FOS/FBLN5/KLF2/KLF4/NET1/DUSP1/CRYAB/GPR37/CAT/CD36/HBA2/AQP1/ECT2/SCGB1A1",25
"BP","GO:0006935","chemotaxis","42/652","443/18842",0.0948081264108352,2.73983852428368,7.01573408065134,3.66318456602226e-09,5.00524218430133e-07,1.66008750572975e-07,"VEGFD/GAS6/IL6/EDN1/ANGPT1/NR4A1/MDK/ANOS1/CX3CR1/SFTPD/MIF/PLAU/S100A4/SEMA3G/SEMA6A/CXCL12/F2RL1/CXCL2/S1PR1/FLRT3/CCL14/SLIT2/NEDD9/AGTR1/PTN/DUSP1/PERP/C5AR1/ENG/DOCK4/CXCL13/STK39/EFNB2/HBEGF/PLA2G1B/EDNRB/GREM1/CXCL3/CXCL14/AGR2/SEMA5A/ALOX5",42
"BP","GO:0042330","taxis","42/652","443/18842",0.0948081264108352,2.73983852428368,7.01573408065134,3.66318456602226e-09,5.00524218430133e-07,1.66008750572975e-07,"VEGFD/GAS6/IL6/EDN1/ANGPT1/NR4A1/MDK/ANOS1/CX3CR1/SFTPD/MIF/PLAU/S100A4/SEMA3G/SEMA6A/CXCL12/F2RL1/CXCL2/S1PR1/FLRT3/CCL14/SLIT2/NEDD9/AGTR1/PTN/DUSP1/PERP/C5AR1/ENG/DOCK4/CXCL13/STK39/EFNB2/HBEGF/PLA2G1B/EDNRB/GREM1/CXCL3/CXCL14/AGR2/SEMA5A/ALOX5",42
"BP","GO:0002009","morphogenesis of an epithelium","34/652","316/18842",0.107594936708861,3.10936165255883,7.15917833793391,4.99421224175615e-09,6.62320676414073e-07,2.19671743986742e-07,"FOLR1/RASIP1/MDK/TGFBR2/COL5A1/LCN2/TFAP2A/TCF21/KRT19/PTCH1/KRT15/MMRN2/GPC3/CEACAM1/STARD13/TNC/BMP2/EDNRA/PODXL/FLRT3/SLIT2/LGR4/PERP/ENG/TIE1/FGFR2/HBEGF/AGTR2/DLC1/GREM1/FERMT2/TBX2/SULF1/MMP12",34
"BP","GO:0007088","regulation of mitotic nuclear division","20/652","120/18842",0.166666666666667,4.81646216768916,7.94026299613929,5.23613646935587e-09,6.74563981152161e-07,2.23732478008422e-07,"RCC1/EDN1/BUB1B/DLGAP5/TTK/ZWINT/NUSAP1/NDC80/TRIP13/BIRC5/AURKA/UBE2C/CENPF/CAV2/DUSP1/BUB1/CCNB1/NEK2/CDC20/MAD2L1",20
"BP","GO:0001570","vasculogenesis","14/652","57/18842",0.245614035087719,7.09794424712087,8.72920515762445,5.97189559216725e-09,7.47979922918948e-07,2.48082326259659e-07,"EMP2/RASIP1/TGFBR2/CD34/TMEM100/CEACAM1/TGFBR3/RRAS/RAMP2/DSP/HEY1/ENG/TIE1/CAV1",14
"BP","GO:0072073","kidney epithelium development","19/652","110/18842",0.172727272727273,4.99160624651422,7.94897964217151,6.85892244162127e-09,8.34464619813049e-07,2.76766685470294e-07,"EDN1/CD24/TCF21/PECAM1/CD34/GPC3/BMP2/EDNRA/PODXL/EPCAM/SLIT2/LGR4/CAT/FGFR2/KANK2/AGTR2/AQP1/GREM1/SMAD6",19
"BP","GO:0051384","response to glucocorticoid","20/652","122/18842",0.163934426229508,4.73750377149754,7.84093865038139,7.03252507272031e-09,8.34464619813049e-07,2.76766685470294e-07,"IL6/EDN1/SRD5A1/MDK/FOS/ABCA3/CDO1/SLIT2/ZFP36/IGFBP2/DUSP1/KLF9/FAM107A/AQP1/BCHE/PTGDS/FOSB/GHR/TBX2/SCGB1A1",20
"BP","GO:0097205","renal filtration","10/652","26/18842",0.384615384615385,11.1149126946673,9.77112532222738,7.39557075984932e-09,8.55041757850272e-07,2.83591500034994e-07,"EMP2/MCAM/GAS6/EDN1/CD34/F2RL1/EDNRA/IGHA1/IGHA2/SULF1",10
"BP","GO:0001503","ossification","36/652","354/18842",0.101694915254237,2.93885827181034,6.97207662913211,7.94028074095594e-09,8.81140542601563e-07,2.92247677875147e-07,"CHRDL1/CLEC3B/COL1A1/IL6/CCN2/MDK/ADGRG6/WWTR1/TFAP2A/PTCH1/TNC/ZBTB16/GPM6B/BMP2/S1PR1/KL/SPP1/IGFBP2/CYP24A1/LGR4/PTN/VCAN/CAT/PTPRB/CRIM1/FGFR2/TMT1A/GDF10/GABBR1/GREM1/FHL2/FERMT2/IGFBP3/SMAD6/COL13A1/ALOX5",36
"BP","GO:0003205","cardiac chamber development","19/652","111/18842",0.171171171171171,4.94663682086995,7.8952810443154,8.01214509795167e-09,8.81140542601563e-07,2.92247677875147e-07,"FOXF1/ADGRG6/TGFBR2/RBP4/TGFBR3/BMP2/GATA6/EDNRA/DSP/SLIT2/TEK/HEY1/ENG/FGFR2/FHL2/TNNC1/SOX4/TBX2/SMAD6",19
"BP","GO:0060326","cell chemotaxis","33/652","311/18842",0.106109324758842,3.06642929004005,6.9568195512594,1.18784210938167e-08,1.27523335028618e-06,4.22956347315189e-07,"VEGFD/GAS6/IL6/EDN1/NR4A1/MDK/CX3CR1/SFTPD/MIF/CXCL12/F2RL1/CXCL2/CCL14/SLIT2/NEDD9/AGTR1/PTN/DUSP1/PERP/C5AR1/ENG/DOCK4/CXCL13/STK39/HBEGF/PLA2G1B/EDNRB/GREM1/CXCL3/CXCL14/AGR2/SEMA5A/ALOX5",33
"BP","GO:0060840","artery development","15/652","70/18842",0.214285714285714,6.19259421560035,8.24019625977833,1.28497634761802e-08,1.32951854823636e-06,4.40961106234908e-07,"FOXF1/FOLR1/EDN1/LDLR/MDK/TGFBR2/MYLK/AKT3/HPGD/EDNRA/HEY1/ENG/SOX4/TBX2/COL3A1",15
"BP","GO:1903034","regulation of response to wounding","23/652","165/18842",0.139393939393939,4.02831381297639,7.39688238704925,1.32054976863499e-08,1.32951854823636e-06,4.40961106234908e-07,"PROS1/EDN1/SERPING1/DSG2/MDK/MYLK/FAP/PLAU/CEACAM1/F2RL1/THBD/SPP1/CPB2/IL33/DUOX1/PTN/CD36/CAV1/HBEGF/CLDN4/FERMT2/CLDN3/ALOX5",23
"BP","GO:0140014","mitotic nuclear division","31/652","281/18842",0.110320284697509,3.18812086544549,6.99653812810962,1.32686481859916e-08,1.32951854823636e-06,4.40961106234908e-07,"CENPA/RGCC/RCC1/H3-3B/EDN1/KIF2A/TPX2/BUB1B/DLGAP5/TTK/ZWINT/KIF11/NUSAP1/CDK1/UBE2S/NDC80/TRIP13/KAT2B/BIRC5/AURKA/PRC1/UBE2C/CENPF/CAV2/DUSP1/BUB1/CCNB1/NEK2/CDC20/KIF4A/MAD2L1",31
"BP","GO:0060537","muscle tissue development","32/652","298/18842",0.10738255033557,3.10322394696751,6.92869371725674,1.48711610085385e-08,1.45769706494566e-06,4.83474044921366e-07,"EDN1/DSG2/MYLK/MYH11/TCF21/PTCH1/MEIS1/RBP4/TGFBR3/CDK1/BMP2/TBX3/S1PR1/ITGA8/GATA6/EDNRA/DSP/CAV2/HEY1/NEBL/ENG/CCNB1/CAV1/EFNB2/FGFR2/GREM1/FHL2/TNNC1/TBX2/COL3A1/DMD/RCAN1",32
"BP","GO:0060343","trabecula formation","7/652","11/18842",0.636363636363636,18.3901282766313,10.9224951253732,1.68265245173751e-08,1.61427232018818e-06,5.35405323241886e-07,"ADGRG6/RBP4/TGFBR3/TEK/HEY1/GREM1/FHL2",7
"BP","GO:0001763","morphogenesis of a branching structure","17/652","93/18842",0.182795698924731,5.2825714097236,7.83820208330048,1.76777706663618e-08,1.66060558197136e-06,5.50772665351167e-07,"FOXF1/RASIP1/MDK/TGFBR2/TCF21/BMP2/EDNRA/SLIT2/LGR4/ENG/TIE1/FGFR2/AGTR2/GREM1/TBX2/SULF1/COL13A1",17
"BP","GO:0031032","actomyosin structure organization","25/652","196/18842",0.127551020408163,3.6860679854764,7.15668034049244,1.93595485994315e-08,1.76907313646685e-06,5.86748073805886e-07,"RGCC/SYNPO/EDN1/MYH10/CCN2/MYH11/KRT19/CAPN3/ZEB2/EPB41L2/S1PR1/PTGER4/LMOD1/CNN1/LIMCH1/ARRB1/NEBL/KRT8/SORBS1/DLC1/ECT2/PIK3R1/MYL9/ARHGAP6/FERMT2",25
"BP","GO:0031960","response to corticosteroid","21/652","142/18842",0.147887323943662,4.27376220513264,7.41361318842842,1.96171339151347e-08,1.76907313646685e-06,5.86748073805886e-07,"IL6/EDN1/SRD5A1/MDK/FOS/ABCA3/CDO1/SLIT2/ZFP36/IGFBP2/DUSP1/KLF9/FAM107A/STK39/AQP1/BCHE/PTGDS/FOSB/GHR/TBX2/SCGB1A1",21
"BP","GO:0042542","response to hydrogen peroxide","16/652","83/18842",0.192771084337349,5.57084780841156,7.90115149246237,2.10743480518889e-08,1.86322030129347e-06,6.17973841965269e-07,"HBB/COL1A1/IL6/EDN1/HBA1/LCN2/CDK1/KLF2/KLF4/NET1/DUSP1/CRYAB/CAT/HBA2/AQP1/ECT2",16
"BP","GO:0009636","response to toxic substance","29/652","256/18842",0.11328125,3.27368912960123,6.93453787964629,2.16656567790423e-08,1.87866243109042e-06,6.23095529546775e-07,"HBB/SLC39A8/SLC15A2/EDN1/SRD5A1/NQO1/SESN1/HBA1/LCN2/SLC7A11/CDK1/ALDH2/ALDH1A1/FOS/ALOX5AP/MT1M/FBLN5/ABCG1/CES1/CDH1/EDNRA/PRDX4/GPX3/CAT/CD36/CCNB1/CP/HBA2/SLC6A4",29
"BP","GO:0085029","extracellular matrix assembly","12/652","45/18842",0.266666666666667,7.70633946830266,8.52720968580649,2.69042348972948e-08,2.28889047456419e-06,7.59155768870805e-07,"RGCC/GAS6/MFAP4/TNXB/MYH11/TGFBR3/GPM6B/FBLN5/RAMP2/LTBP4/TIE1/COL3A1",12
"BP","GO:0007160","cell-matrix adhesion","27/652","229/18842",0.117903930131004,3.40727891338709,6.93897602985168,2.86104494203657e-08,2.38897252660053e-06,7.92349959684275e-07,"PLPP3/EMP2/CDKN2A/SVEP1/CD34/PLAU/RRAS/GPM6B/FBLN5/ECM2/SLK/ITGA8/MUC4/LIMCH1/TEK/LYVE1/CD36/FAM107A/MACF1/SORBS1/DLC1/GREM1/ARHGAP6/FERMT2/COL3A1/COL13A1/MMP12",27
"BP","GO:0033047","regulation of mitotic sister chromatid segregation","14/652","65/18842",0.215384615384615,6.22435110901369,7.98795031415816,3.66540676700014e-08,2.97916929793678e-06,9.88100384926507e-07,"BUB1B/TTK/ZWINT/CDK1/NDC80/TRIP13/KAT2B/BIRC5/CENPF/DUSP1/BUB1/CCNB1/CDC20/MAD2L1",14
